#RawFactor(z),ParFactor(c),dz/dc
IndexCurve/EUR-EURIBOR-3M/15,DiscountCurve/EUR/1,-0.000000009223
IndexCurve/EUR-EURIBOR-6M/0,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-6M/1,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-6M/2,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-6M/3,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-6M/4,DiscountCurve/EUR/1,-0.000000000004
IndexCurve/EUR-EURIBOR-6M/5,DiscountCurve/EUR/1,0.000000000064
IndexCurve/EUR-EURIBOR-6M/6,DiscountCurve/EUR/1,0.000000000096
IndexCurve/EUR-EURIBOR-6M/7,DiscountCurve/EUR/1,-0.000000000103
IndexCurve/EUR-EURIBOR-6M/8,DiscountCurve/EUR/1,-0.000000000728
IndexCurve/EUR-EURIBOR-6M/9,DiscountCurve/EUR/1,-0.000000001572
IndexCurve/EUR-EURIBOR-6M/10,DiscountCurve/EUR/1,-0.000000004152
IndexCurve/EUR-EURIBOR-6M/11,DiscountCurve/EUR/1,-0.000000008205
IndexCurve/EUR-EURIBOR-6M/12,DiscountCurve/EUR/1,-0.000000011787
IndexCurve/EUR-EURIBOR-6M/13,DiscountCurve/EUR/1,-0.000000012209
IndexCurve/EUR-EURIBOR-6M/14,DiscountCurve/EUR/1,-0.000000010633
IndexCurve/EUR-EURIBOR-6M/15,DiscountCurve/EUR/1,-0.000000008233
IndexCurve/USD-FedFunds/4,DiscountCurve/EUR/1,0.000000000000
IndexCurve/USD-FedFunds/5,DiscountCurve/EUR/1,0.000000000008
IndexCurve/USD-FedFunds/6,DiscountCurve/EUR/1,-0.000000000361
IndexCurve/USD-FedFunds/7,DiscountCurve/EUR/1,-0.000000000425
IndexCurve/USD-FedFunds/8,DiscountCurve/EUR/1,-0.000000001330
IndexCurve/USD-FedFunds/9,DiscountCurve/EUR/1,-0.000000002524
IndexCurve/USD-FedFunds/10,DiscountCurve/EUR/1,-0.000000005621
IndexCurve/USD-FedFunds/11,DiscountCurve/EUR/1,-0.000000008742
IndexCurve/USD-FedFunds/12,DiscountCurve/EUR/1,-0.000000010844
IndexCurve/USD-FedFunds/13,DiscountCurve/EUR/1,-0.000000009210
IndexCurve/USD-FedFunds/14,DiscountCurve/EUR/1,-0.000000006756
IndexCurve/USD-FedFunds/15,DiscountCurve/EUR/1,-0.000000004951
IndexCurve/USD-LIBOR-3M/0,DiscountCurve/EUR/1,0.000000000000
IndexCurve/USD-LIBOR-3M/1,DiscountCurve/EUR/1,0.000000000000
IndexCurve/USD-LIBOR-3M/2,DiscountCurve/EUR/1,-0.000000000002
IndexCurve/USD-LIBOR-3M/3,DiscountCurve/EUR/1,0.000000000022
IndexCurve/USD-LIBOR-3M/4,DiscountCurve/EUR/1,-0.000000000316
IndexCurve/USD-LIBOR-3M/5,DiscountCurve/EUR/1,0.000000005207
IndexCurve/USD-LIBOR-3M/6,DiscountCurve/EUR/1,0.000000001898
IndexCurve/USD-LIBOR-3M/7,DiscountCurve/EUR/1,0.000000000005
IndexCurve/USD-LIBOR-3M/8,DiscountCurve/EUR/1,-0.000000001365
IndexCurve/USD-LIBOR-3M/9,DiscountCurve/EUR/1,-0.000000003270
