#ParFactor,RawFactor,ParSensitivity
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/2,0.000025487015
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/3,0.000140318095
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/4,0.000190538584
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/5,0.000777804520
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/6,0.002115979059
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/7,-0.971214453315
DiscountCurve/USD/7,IndexCurve/EUR-EURIBOR-3M/8,-0.021658143912
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/0,-0.003573175226
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/2,-0.000016781423
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/3,-0.000128689723
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/4,-0.000144277038
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/5,-0.000422298101
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/6,-0.002298142770
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/7,0.969381662247
DiscountCurve/USD/7,IndexCurve/USD-LIBOR-3M/8,0.021617679615
DiscountCurve/USD/8,DiscountCurve/EUR/0,-0.002733160071
DiscountCurve/USD/8,DiscountCurve/EUR/2,-0.000070964773
DiscountCurve/USD/8,DiscountCurve/EUR/3,-0.000218111348
DiscountCurve/USD/8,DiscountCurve/EUR/4,-0.000282507238
DiscountCurve/USD/8,DiscountCurve/EUR/5,-0.000333509463
DiscountCurve/USD/8,DiscountCurve/EUR/6,-0.001112213660
DiscountCurve/USD/8,DiscountCurve/EUR/7,-0.000681930533
DiscountCurve/USD/8,DiscountCurve/EUR/8,0.974453807398
DiscountCurve/USD/8,DiscountCurve/EUR/9,0.016877250907
DiscountCurve/USD/8,DiscountCurve/USD/0,0.002732842105
DiscountCurve/USD/8,DiscountCurve/USD/2,0.000015064699
DiscountCurve/USD/8,DiscountCurve/USD/3,0.000109917830
DiscountCurve/USD/8,DiscountCurve/USD/4,0.000130532762
DiscountCurve/USD/8,DiscountCurve/USD/5,0.000332630620
DiscountCurve/USD/8,DiscountCurve/USD/6,0.001781402277
DiscountCurve/USD/8,DiscountCurve/USD/7,0.001309852659
DiscountCurve/USD/8,DiscountCurve/USD/8,-0.973715572264
DiscountCurve/USD/8,DiscountCurve/USD/9,-0.016870800905
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/0,0.002682913253
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/2,0.000019004920
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/3,0.000104704841
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/4,0.000143384870
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/5,0.000583185857
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/6,0.001585652890
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/7,0.001313092404
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/8,-0.975791393978
DiscountCurve/USD/8,IndexCurve/EUR-EURIBOR-3M/9,-0.016904756131
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/0,-0.002680559511
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/2,-0.000012404517
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/3,-0.000099622498
